fra> sweep
idx,freq_hz,mag_counts,phase_deg,norm_db,norm_phase_deg,i_acc,q_acc,samples,adc_                                                                                                                                                             min,adc_max,status
0,10.000,55.041,179.987,nan,nan,-34950600315,8204253,9999924,69,184,0x00000002 D                                                                                                                                                             ONE
1,14.919,55.041,179.986,nan,nan,-23427662096,5700282,6703031,70,184,0x00000002 D                                                                                                                                                             ONE
2,22.258,55.039,179.985,nan,nan,-15701690827,4081241,4492644,69,184,0x00000002 D                                                                                                                                                             ONE
3,33.206,55.039,179.984,nan,nan,-10524650378,2880090,3011370,69,184,0x00000002 D                                                                                                                                                             ONE
4,49.540,55.039,179.982,nan,nan,-7054816548,2173532,2018549,69,184,0x00000002 DO                                                                                                                                                             NE
5,73.908,55.041,179.980,nan,nan,-4729113660,1685399,1353065,69,184,0x00000002 DO                                                                                                                                                             NE
6,110.263,55.040,179.977,nan,nan,-3169763689,1277090,906924,70,184,0x00000002 DO                                                                                                                                                             NE
7,164.501,55.040,179.969,nan,nan,-2124623813,1135239,607900,70,184,0x00000002 DO                                                                                                                                                             NE
8,245.419,55.040,179.963,nan,nan,-1424100457,913346,407463,70,184,0x00000002 DON                                                                                                                                                             E
9,366.139,55.042,179.949,nan,nan,-954603992,848173,273121,70,184,0x00000002 DONE
10,546.241,55.040,179.930,nan,nan,-639834466,783166,183070,69,184,0x00000002 DON                                                                                                                                                             E
11,814.934,55.037,179.903,nan,nan,-428851296,726908,122709,70,183,0x00000002 DON                                                                                                                                                             E
12,1215.797,55.039,179.859,nan,nan,-287464522,705258,82251,69,184,0x00000002 DON                                                                                                                                                             E
13,1813.842,55.036,179.797,nan,nan,-192674746,682592,55132,70,184,0x00000002 DON                                                                                                                                                             E
14,2706.063,55.037,179.702,nan,nan,-129146526,672345,36954,70,183,0x00000002 DON                                                                                                                                                             E
15,4037.163,55.028,179.560,nan,nan,-86550905,664409,24770,70,183,0x00000002 DONE
16,6023.026,55.029,179.350,nan,nan,-58012657,658249,16603,70,183,0x00000002 DONE
17,8985.726,55.024,179.032,nan,nan,-38879513,657046,11129,70,183,0x00000002 DONE
18,13405.764,55.017,178.564,nan,nan,-26054104,653130,7460,70,183,0x00000002 DONE
