idx,freq_hz,mag_counts,phase_deg,norm_db,norm_phase_deg,i_acc,q_acc,samples,adc_min,adc_max,status
0,10.0,55.037,179.987,0.0,0.0,-34948422170,8145483,9999924,69,184,0x00000002 DONE
1,14.919,55.038,179.986,0.0,0.0,-23426637182,5699904,6703031,69,184,0x00000002 DONE
2,22.258,55.037,179.985,0.0,0.001,-15701194402,3996442,4492644,69,184,0x00000002 DONE
3,33.206,55.036,179.984,0.0,0.0,-10524084707,2959759,3011370,69,184,0x00000002 DONE
4,49.54,55.038,179.983,0.0,0.0,-7054601494,2104091,2018549,70,184,0x00000002 DONE
5,73.908,55.037,179.979,0.0,0.0,-4728724800,1704068,1353065,70,184,0x00000002 DONE
6,110.263,55.036,179.975,0.0,-0.001,-3169501363,1379802,906924,70,184,0x00000002 DONE
7,164.501,55.038,179.969,0.0,-0.001,-2124569080,1133258,607900,70,184,0x00000002 DONE
8,245.419,55.036,179.962,0.0,0.0,-1424007612,947518,407463,70,184,0x00000002 DONE
9,366.139,55.036,179.947,0.0,-0.001,-954500350,877913,273121,70,184,0x00000002 DONE
10,546.241,55.036,179.93,0.0,0.0,-639787260,784932,183070,70,184,0x00000002 DONE
11,814.934,55.038,179.902,0.0,0.0,-428860410,735286,122709,70,184,0x00000002 DONE
12,1215.797,55.035,179.856,0.0,-0.002,-287444629,721147,82251,70,183,0x00000002 DONE
13,1813.842,55.033,179.796,-0.001,0.005,-192662068,684651,55132,70,183,0x00000002 DONE
14,2706.063,55.034,179.698,0.0,-0.003,-129140336,680537,36954,70,183,0x00000002 DONE
15,4037.163,55.032,179.557,-0.001,-0.004,-86557438,669544,24770,70,183,0x00000002 DONE
16,6023.026,55.031,179.349,-0.001,-0.008,-58015187,658979,16603,71,183,0x00000002 DONE
17,8985.726,55.024,179.034,0.0,0.005,-38879439,655271,11129,70,182,0x00000002 DONE
18,13405.764,55.025,178.559,0.0,0.001,-26057759,655699,7460,70,182,0x00000002 DONE
19,20000.0,55.028,177.88,0.002,0.011,-17459399,646356,5000,72,182,0x00000002 DONE
